# curie_map:
#   nist_ai_600_1: 'https://w3id.org/lmodel/nist-ai-600-1/'
#   nist_ai_rmf: 'https://w3id.org/lmodel/nist-ai-rmf/'
#   nist_csf: 'https://w3id.org/lmodel/nist-csf-v2/'
#   oscal_catalog: 'https://w3id.org/lmodel/oscal_catalog/'
#   oscal_profile: 'https://w3id.org/lmodel/oscal_profile/'
#   iso27001: 'https://w3id.org/lmodel/iso27001/'
#   iso29100: 'https://w3id.org/lmodel/iso29100/'
#   gist: 'https://w3id.org/lmodel/gist/'
#   stix: 'https://w3id.org/lmodel/stix/'
#   slsa: 'https://w3id.org/lmodel/slsa/'
#   spdx: 'https://w3id.org/lmodel/spdx/'
#   skos: 'http://www.w3.org/2004/02/skos/core#'
#   semapv: 'https://w3id.org/semapv/vocab/'
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_id: https://w3id.org/lmodel/nist-ai-600-1/mappings/nist_ai_600_1
# mapping_set_title: NIST AI RMF GAI Profile (AI 600-1) - SSSOM mapping set
# mapping_set_description: |-
#   Mappings between NIST AI 600-1 Generative AI Profile schema
#   elements and related concepts in the lmodel ecosystem (ISO 27001,
#   ISO 29100, OSCAL profile, NIST CSF v2, STIX, SLSA, SPDX, GIST core).
# subject_source: nist_ai_600_1
# subject_source_version: 1.0.0
# mapping_provider: https://w3id.org/lmodel/nist-ai-600-1
# mapping_date: 2026-05-14
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
nist_ai_600_1:GaiProfile	GaiProfile	skos:exactMatch	oscal_profile:Profile	Profile	semapv:ManualMappingCuration	GaiProfile is a cross-sectoral profile - OSCAL Profile is the analogous mechanism.
nist_ai_600_1:GaiProfile	GaiProfile	skos:closeMatch	nist_csf:CSFDocument	CSFDocument	semapv:ManualMappingCuration	Both serialise a framework profile document.
nist_ai_600_1:GaiRisk	GaiRisk	skos:broadMatch	iso27001:Risk	Risk	semapv:ManualMappingCuration	GaiRisk is GAI-specific; iso27001:Risk is the broader risk concept.
nist_ai_600_1:GaiRisk	GaiRisk	skos:relatedMatch	iso29100:PrivacyRisk	PrivacyRisk	semapv:ManualMappingCuration	A GaiRisk may be a privacy risk; related but narrower.
nist_ai_600_1:GaiRisk	GaiRisk	skos:closeMatch	nist_ai_rmf:AiSpecificRisk	AiSpecificRisk	semapv:ManualMappingCuration	GaiRisk inherits from AiSpecificRisk - both are "AI-only" risks; close (subclass relation).
nist_ai_600_1:SuggestedAction	SuggestedAction	skos:closeMatch	stix:CourseOfAction	CourseOfAction	semapv:ManualMappingCuration	STIX Course of Action is the analogous "recommended action" concept.
nist_ai_600_1:SuggestedAction	SuggestedAction	skos:relatedMatch	oscal_catalog:Control	Control	semapv:ManualMappingCuration	Both express something an organisation can do to manage risk.
nist_ai_600_1:SuggestedAction	SuggestedAction	skos:relatedMatch	gist:Task	Task	semapv:ManualMappingCuration	gist:Task is a planned/scheduled activity; related.
nist_ai_600_1:PrimaryGaiConsideration	PrimaryGaiConsideration	skos:relatedMatch	nist_csf:CSFProperty	CSFProperty	semapv:ManualMappingCuration	Property-like consideration attached to the framework.
nist_ai_600_1:StructuredPublicFeedback	StructuredPublicFeedback	skos:relatedMatch	iso27001:InterestedParty	InterestedParty	semapv:ManualMappingCuration	Engaging interested parties / public for feedback.
nist_ai_600_1:AiRedTeaming	AiRedTeaming	skos:relatedMatch	stix:AttackPattern	AttackPattern	semapv:ManualMappingCuration	Red-teaming explores adversarial attack patterns against AI systems.
nist_ai_600_1:applies_to_subcategory	applies_to_subcategory	skos:closeMatch	oscal_profile:Profile	Profile	semapv:ManualMappingCuration	OSCAL profiles include controls by reference - analogous linking semantics.
